Date,Time (UTC),Exchange,Symbol,Side,Quantity,Price,Total USD,Fee (est.),Net P&L,SL,TP,Order ID,Mode,Portfolio,Notes
2026-05-06,22:20:08,BitGet,ETHUSDT,SHORT,0.22,2347.23,10.33,0.5164,OPEN,,,1436046172245078017,LIVE,synapse_t,"Ulaz SHORT po 2347.23"
2026-05-07,07:19:33,BitGet,ETHUSDT,CLOSE_SHORT,0.22,2340.83,10.33,0.5150,0.4283,,,1436046172245078017-CLOSE,LIVE,synapse_t,"WIN: +0.4283 USDT | Ulaz 2347.23 → Izlaz 2340.83"
2026-05-06,22:20:11,BitGet,PEPEUSDT,SHORT,126109000,0.0000041423,10.45,0.5224,OPEN,,,1436046185490690050,LIVE,synapse_t,"Ulaz SHORT po 0.0000041423"
2026-05-07,07:17:28,BitGet,PEPEUSDT,CLOSE_SHORT,126109000,0.0000042053,10.45,0.5303,-8.9235,,,1436046185490690050-CLOSE,LIVE,synapse_t,"LOSS: -8.9235 USDT | Ulaz 0.0000041423 → Izlaz 0.0000042053"
2026-05-06,22:34:12,BitGet,DOGEUSDT,SHORT,4554,0.11242,10.24,0.5120,OPEN,,,1436049713462390786,LIVE,synapse_t,"Ulaz SHORT po 0.11242"
2026-05-07,07:19:33,BitGet,DOGEUSDT,CLOSE_SHORT,4554,0.11155,10.24,0.5080,2.9932,,,1436049713462390786-CLOSE,LIVE,synapse_t,"WIN: +2.9932 USDT | Ulaz 0.11242 → Izlaz 0.11155"
2026-05-06,22:34:15,BitGet,RIVERUSDT,LONG,81,6.17,10.00,0.4998,OPEN,,,1436049722522087426,LIVE,synapse_t,"Ulaz LONG po 6.17"
2026-05-07,02:38:56,BitGet,RIVERUSDT,CLOSE_LONG,81,5.871,10.00,0.4756,-25.4895,,,1436049722522087426-CLOSE,LIVE,synapse_t,"LOSS: -25.4895 USDT | Ulaz 6.17 → Izlaz 5.871"
2026-05-06,23:04:19,BitGet,ZECUSDT,SHORT,0.891,551.39,9.83,0.4913,OPEN,,,1436057289533042690,LIVE,synapse_t,"Ulaz SHORT po 551.39"
2026-05-07,06:40:45,BitGet,ZECUSDT,CLOSE_SHORT,0.891,559.5,9.83,0.4985,-8.1661,,,1436057289533042690-CLOSE,LIVE,synapse_t,"LOSS: -8.1661 USDT | Ulaz 551.39 → Izlaz 559.5"
2026-05-07,01:49:14,BitGet,SUIUSDT,SHORT,492,0.9789,9.63,0.4816,OPEN,,,1436098793509105667,LIVE,synapse_t,"Ulaz SHORT po 0.9789"
2026-05-07,06:42:28,BitGet,SUIUSDT,CLOSE_SHORT,492,0.9935,9.63,0.4888,-8.1476,,,1436098793509105667-CLOSE,LIVE,synapse_t,"LOSS: -8.1476 USDT | Ulaz 0.9789 → Izlaz 0.9935"
2026-05-07,03:19:14,BitGet,RIVERUSDT,SHORT,82,6.021,9.87,0.4938,OPEN,,,1436121444126437378,LIVE,synapse_t,"Ulaz SHORT po 6.021"
2026-05-07,07:19:33,BitGet,RIVERUSDT,CLOSE_SHORT,82,5.989,9.87,0.4911,1.8071,,,1436121444126437378-CLOSE,LIVE,synapse_t,"WIN: +1.8071 USDT | Ulaz 6.021 → Izlaz 5.989"
2026-05-07,06:48:28,BitGet,SUIUSDT,LONG,486,0.9933,9.65,0.4827,OPEN,,,1436174097518833666,LIVE,synapse_t,"Ulaz LONG po 0.9933"
2026-05-07,07:19:33,BitGet,SUIUSDT,CLOSE_LONG,486,1.0024,9.65,0.4872,3.4757,,,1436174097518833666-CLOSE,LIVE,synapse_t,"WIN: +3.4757 USDT | Ulaz 0.9933 → Izlaz 1.0024"
2026-05-07,07:19:41,BitGet,XAUUSDT,LONG,0.09,4744.54,8.54,0.4270,OPEN,,,1436181954100371456,LIVE,synapse_t,"Ulaz LONG po 4744.54"
2026-05-07,07:22:13,BitGet,XAUUSDT,CLOSE_LONG,0.09,4742.76,8.54,0.4268,-1.0141,,,1436181954100371456-CLOSE,LIVE,synapse_t,"LOSS: -1.0141 USDT | Ulaz 4744.54 → Izlaz 4742.76"
2026-05-07,07:31:09,BitGet,SUIUSDT,LONG,474,1.0043,9.52,0.4760,OPEN,,,1436184840448389120,LIVE,synapse_t,"Ulaz LONG po 1.0043"
2026-05-07,09:27:59,BitGet,SUIUSDT,CLOSE_LONG,474,0.9898,9.52,0.4692,-7.8387,,,1436184840448389120-CLOSE,LIVE,synapse_t,"LOSS: -7.8387 USDT | Ulaz 1.0043 → Izlaz 0.9898"
2026-05-07,07:31:11,BitGet,SOLUSDT,LONG,5.2,89.648,9.32,0.4662,OPEN,,,1436184849789104131,LIVE,synapse_t,"Ulaz LONG po 89.648"
